subject,average
1,-0.33703761727358406
2,-0.3707082188161894
3,-0.41137187651362933
4,-0.4230583040478168
5,-0.37923414539511757
6,-0.34730081696602116
7,-0.38440036130234634
8,-0.35074217998908647
9,-0.40699218764106115
10,-0.3677188284914235
11,-0.4239982454015706
12,-0.4040755824399842
13,-0.38768269976773817
14,-0.36330190937456674
15,-0.4132276317758526
16,-0.452007517960309
17,-0.4307396515628884
18,-0.46139048750713163
19,-0.37544773809094717
20,-0.37918635460303673
21,-0.43297837463658767
22,-0.40019629638368226
23,-0.35743322657884824
24,-0.4334633058787698
25,-0.460776969413255
26,-0.4271731008297563
27,-0.43243338375217816
28,-0.4344556204218923
29,-0.4023496024706834
30,-0.41388171482713554
